2011-04-04_14-56-08_926	-55.2517358334	-39.4012541874	-25.1708272128	243.862587491	41.1373188026	3.56623768159	28.9976241783	59	46	7
2011-04-04_14-57-13_794	1.23878439903	-13.3496218127	-4.80920110178	354.473384702	-44.2533968296	-7.14157157432	7.59719896696	63	19	0
2011-04-04_14-58-32_697	-7.63205311323	17.4024841364	-0.228488319145	199.78739342	-53.3071273309	17.4832925926	8.25397211459	18	5	0
2011-04-04_14-59-02_019	7.22368222418	-11.0355507844	-0.362063659819	321.06386876	-14.3020360686	9.80120099832	8.79745131338	64	21	0
2011-04-04_15-03-46_747	0.803902938341	2.16342283248	-2.05500426011	218.568203855	11.6327224201	-40.8904939496	16.3461102632	21	12	0
2011-04-04_15-00-44_995	-21.0289444159	6.12492747191	32.4913042386	311.596256174	-8.55543527434	190.033752898	6.61274357772	50	8	0
2011-04-04_15-02-39_082	-0.681672184482	4.40321495686	-0.980517150157	316.313693742	22.119033086	0.787538083637	70.515005179	28	28	22
2011-04-04_15-02-57_966	-5.03018204943	-5.41244347037	-0.642474031004	92.0580936986	-29.8789452382	1.37705399865	3.06638029245	51	4	0
2011-04-04_15-05-15_984	5.38289316403	-0.360757697846	9.05350998829	34.9284482815	12.9797428631	-1.28082432804	0.393392525977	21	0	0
2011-04-04_15-06-37_147	-10.2292267244	-0.182748889901	12.8464521525	310.33140802	25.0091638213	159.835521117	87.6612733483	17	13	13
2011-04-04_15-06-48_388	3.59111335762	0.229967672991	-1.95378129507	327.777949678	-6.25326994784	11.3685388726	32.0052376215	19	18	1
2011-04-04_15-04-17_725	-10.3057965189	3.38787919658	0.640026648938	288.669535256	9.23172114021	-59.2164008516	269.290068088	117	117	117
2011-04-04_15-06-58_888	0.572465464789	0.0207458744349	0.146966147037	55.4902184815	15.3434731434	-166.69670097	3.19996012049	41	0	0
2011-04-04_15-09-15_376	7.99624693622	-7.51519252879	-7.05917281291	312.618342511	-15.4241496948	0.0840427889135	16.1305105411	45	26	3
2011-04-04_15-09-38_802	2.16884469494	-1.0707908874	-3.45304230144	336.73367599	-3.04892763035	1.44672648378	5.84854873257	170	24	1
2011-04-04_14-59-18_984	-8.96441396761	-0.770465580527	7.19186788376	83.2542434099	11.0064774452	109.896150519	800.463292514	262	262	256
2011-04-04_15-09-59_560	-8.7444273509	-1.2806089366	-12.7599042598	23.7782759584	15.6235455782	-20.3506280311	13.3893922795	59	26	0
2011-04-04_15-10-56_749	0.447464721978	2.32671849039	0.204620167212	312.049456237	19.7988607399	2.72418310921	15.7480206894	45	16	2
2011-04-04_15-12-44_816	0.192110854249	-2.53264353964	-2.59509718234	5.98213376833	-23.3291411521	4.77994028648	12.8247741364	86	61	0
2011-04-04_15-14-40_829	9.59538080849	-2.94987577072	-5.15500169837	308.12368983	-8.55582338252	4.98405762155	9.83699520457	41	17	1
2011-04-04_15-16-08_110	3.14680564596	-1.74348760602	-4.72898486218	339.416644277	-1.74803355892	5.84667141788	24.4780462405	54	36	12
2011-04-04_15-15-55_363	-13.4574378699	-4.83060579427	12.1788315856	270.876118457	17.5915626053	-91.2153117882	364.49541293	40	40	40
